ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_budukhbudu1248,Budukh_budu1248,budu1248,bdk,Budukh,Nakh-Daghestanian,41.2272,48.3353,varikin,Budukh_budu1248.txt,NA,,NA,Varikin
v_budzabudz1238,Budza_budz1238,budz1238,bja,Budza,Atlantic-Congo,2.19951,22.6107,varikin,Budza_budz1238.txt,NA,,NA,Varikin
v_bukusubuku1249,Bukusu_buku1249,buku1249,bxk,Bukusu,Atlantic-Congo,0.68043,34.7719,varikin,Bukusu_buku1249.txt,NA,,NA,Varikin
v_bulgarianbulg1262,Bulgarian_bulg1262,bulg1262,bul,Bulgarian,Indo-European,43.3646,25.047,varikin,Bulgarian_bulg1262.txt,NA,,NA,Varikin
v_bununbunu1267,Bunun_bunu1267,bunu1267,bnn,Bunun,Austronesian,23.4116,121.025,varikin,Bunun_bunu1267.txt,NA,,NA,Varikin
v_burmesenucl1310,Burmese_nucl1310,nucl1310,mya,Burmese,Sino-Tibetan,20.7926,93.9665,varikin,Burmese_nucl1310.txt,NA,,NA,Varikin
v_bushoongbush1247,Bushoong_bush1247,bush1247,buf,Bushoong,Atlantic-Congo,-4.69463,21.4556,varikin,Bushoong_bush1247.txt,NA,,NA,Varikin
v_bwaidogabwai1243,Bwaidoga_bwai1243,bwai1243,,Bwaidoga,Austronesian,,,varikin,Bwaidoga_bwai1243.txt,NA,,NA,Varikin
v_cahuillacahu1264,Cahuilla_cahu1264,cahu1264,chl,Cahuilla,Uto-Aztecan,33.5324,-116.691,varikin,Cahuilla_cahu1264.txt,NA,,NA,Varikin
v_carnicobaresecarn1240,Car_Nicobarese_carn1240,carn1240,caq,Car Nicobarese,Austroasiatic,9.18853,92.7671,varikin,Car_Nicobarese_carn1240.txt,NA,,NA,Varikin
v_carolinianscaro1242,Carolinians_caro1242,caro1242,cal,Carolinian,Austronesian,15.205,145.765,varikin,Carolinians_caro1242.txt,NA,,NA,Varikin
v_cayubabacayu1262,Cayubaba_cayu1262,cayu1262,cyb,Cayubaba,,-13.2482,-65.4822,varikin,Cayubaba_cayu1262.txt,NA,,NA,Varikin
v_centralaymaracent2142,Central_Aymara_cent2142,cent2142,ayr,Central Aymara,,-17,-68.5,varikin,Central_Aymara_cent2142.txt,NA,,NA,Varikin
v_centralkurdishcent1972,Central_Kurdish_cent1972,cent1972,ckb,Central Kurdish,Indo-European,35.6539,45.8077,varikin,Central_Kurdish_cent1972.txt,NA,,NA,Varikin
v_chamalalcham1309,Chamalal_cham1309,cham1309,cji,Chamalal,Nakh-Daghestanian,42.5024,45.995,varikin,Chamalal_cham1309.txt,NA,,NA,Varikin
v_chamalalgigatligiga1238,Chamalal_Gigatli__giga1238,giga1238,,Gigatl,Nakh-Daghestanian,,,varikin,Chamalal_Gigatli__giga1238.txt,NA,,NA,Varikin
v_chapalaachac1249,Cha_palaa_chac1249,chac1249,cbi,Cha'palaa,,0.71489,-79.0508,varikin,Cha_palaa_chac1249.txt,NA,,NA,Varikin
v_chemehuevichem1251,Chemehuevi_chem1251,chem1251,,Chemehuevi,Uto-Aztecan,35.356093,-116.438436,varikin,Chemehuevi_chem1251.txt,NA,,NA,Varikin
v_chenchuchen1255,Chenchu_chen1255,chen1255,cde,Chenchu,Dravidian,15.8787,79.2534,varikin,Chenchu_chen1255.txt,NA,,NA,Varikin
v_chimarikochim1301,Chimariko_chim1301,chim1301,cid,Chimariko,,41,-123,varikin,Chimariko_chim1301.txt,NA,,NA,Varikin
v_chipayachip1262,Chipaya_chip1262,chip1262,cap,Chipaya,,-18.73951,-67.89633,varikin,Chipaya_chip1262.txt,NA,,NA,Varikin
v_chiricahuamesc1238,Chiricahua_mesc1238,mesc1238,apm,Mescalero-Chiricahua Apache,,33.1291,-105.566,varikin,Chiricahua_mesc1238.txt,NA,,NA,Varikin
v_chokwechok1245,Chokwe_chok1245,chok1245,cjk,Chokwe,Atlantic-Congo,-9.66082,21.3992,varikin,Chokwe_chok1245.txt,NA,,NA,Varikin
